"Step","7b_INTERLEAVE - batch/solve_none","7b_INTERLEAVE - batch/solve_none__MIN","7b_INTERLEAVE - batch/solve_none__MAX","7b_on_policy - batch/solve_none","7b_on_policy - batch/solve_none__MIN","7b_on_policy - batch/solve_none__MAX"
"473","9","9","9","13","13","13"
"474","11","11","11","20","20","20"
"475","11","11","11","23","23","23"
"476","9","9","9","18","18","18"
"477","11","11","11","24","24","24"
"478","11","11","11","13","13","13"
"479","6","6","6","17","17","17"
"480","9","9","9","15","15","15"
"481","14","14","14","16","16","16"
"482","6","6","6","17","17","17"
"483","12","12","12","16","16","16"
"484","15","15","15","18","18","18"
"485","10","10","10","19","19","19"
"486","20","20","20","36","36","36"
"487","14","14","14","21","21","21"
"488","11","11","11","16","16","16"
"489","8","8","8","14","14","14"
"490","10","10","10","20","20","20"
"491","10","10","10","14","14","14"
"492","9","9","9","13","13","13"
"493","8","8","8","23","23","23"
"494","6","6","6","13","13","13"
"495","12","12","12","19","19","19"
"496","9","9","9","30","30","30"
"497","14","14","14","29","29","29"
"498","15","15","15","22","22","22"
"499","9","9","9","16","16","16"
"500","12","12","12","13","13","13"
"501","8","8","8","14","14","14"
"502","7","7","7","16","16","16"
"503","8","8","8","18","18","18"
"504","10","10","10","21","21","21"
"505","11","11","11","15","15","15"
"506","9","9","9","19","19","19"
"507","11","11","11","18","18","18"
"508","11","11","11","23","23","23"
"509","6","6","6","13","13","13"
"510","12","12","12","21","21","21"
"511","10","10","10","17","17","17"
"512","8","8","8","15","15","15"
"513","10","10","10","12","12","12"
"514","11","11","11","17","17","17"
"515","11","11","11","","",""
"516","14","14","14","","",""
"517","9","9","9","","",""
"518","10","10","10","","",""
"519","11","11","11","","",""
"520","14","14","14","","",""
"521","11","11","11","","",""
"522","8","8","8","","",""
"523","15","15","15","","",""
"524","13","13","13","","",""
"525","13","13","13","","",""
"526","14","14","14","","",""
"527","11","11","11","","",""
"528","10","10","10","","",""
"529","9","9","9","","",""
"530","8","8","8","","",""
"531","4","4","4","","",""
"532","6","6","6","","",""
"533","9","9","9","","",""
"534","13","13","13","","",""
"535","10","10","10","","",""
"536","7","7","7","","",""
"537","10","10","10","","",""
"538","8","8","8","","",""
"539","6","6","6","","",""
"540","13","13","13","","",""
"541","5","5","5","","",""
"542","9","9","9","","",""
"543","8","8","8","","",""
"544","10","10","10","","",""
"545","14","14","14","","",""
"546","6","6","6","","",""
"547","11","11","11","","",""
"548","10","10","10","","",""
"549","17","17","17","","",""
"550","7","7","7","","",""
"551","9","9","9","","",""
"552","13","13","13","","",""
"553","13","13","13","","",""
"554","8","8","8","","",""
"555","8","8","8","","",""
"556","13","13","13","","",""
"557","14","14","14","","",""
"558","14","14","14","","",""
"559","4","4","4","","",""
"560","9","9","9","","",""
"561","16","16","16","","",""
"562","12","12","12","","",""
"563","16","16","16","","",""
"564","7","7","7","","",""
"565","6","6","6","","",""
"566","14","14","14","","",""
"567","10","10","10","","",""
"568","12","12","12","","",""
"569","5","5","5","","",""
"570","13","13","13","","",""
"571","8","8","8","","",""
"572","5","5","5","","",""
